County,FIPS,VTD,CNTYVTD,vtdkey,TotalPop,TotalVR,SpanishSurnamePercent,TotalTO
Montague,337,0011,3370011,6912,1704,1082,7.4,136
Montague,337,0012,3370012,6913,208,131,2.3,17
Montague,337,0013,3370013,6914,1298,989,3.3,78
Montague,337,0014,3370014,6915,337,234,1.7,25
Montague,337,0015,3370015,6916,759,518,4.2,42
Montague,337,0016,3370016,6917,452,320,3.4,13
Motley,345,0001,3450001,7059,271,202,2.5,32
Motley,345,0002,3450002,7060,100,93,5.4,13
Motley,345,0003,3450003,7061,24,24,8.3,0
Motley,345,0004,3450004,7062,270,208,5.8,13
Motley,345,0005,3450005,7063,154,145,5.5,21
Motley,345,0006,3450006,7064,244,181,12.7,12
Stonewall,433,0001,4330001,7879,326,245,6.5,14
Stonewall,433,0002,4330002,7880,284,245,13.5,11
Stonewall,433,0003,4330003,7881,296,216,6.5,7
Stonewall,433,0004,4330004,7882,339,245,15.1,17
Throckmorton,447,0001,4470001,8724,348,314,4.5,40
Throckmorton,447,0002,4470002,8725,356,302,10.9,28
Throckmorton,447,3003,4473003,8726,383,315,4.4,24
Throckmorton,447,4005,4474005,8727,117,75,9.3,13
Throckmorton,447,4006,4474006,8728,236,200,3.0,22
Wheeler,483,0101,4830101,9394,1233,911,7.7,35
Wheeler,483,0201,4830201,9395,1227,735,9.4,29
Wheeler,483,0301,4830301,9396,1159,911,9.9,40
Wheeler,483,0401,4830401,9397,1371,953,10.1,66
Wilbarger,487,0001A,4870001A,9438,3237,2204,16.5,129
Wilbarger,487,0001B,4870001B,9439,184,140,1.4,3
Wilbarger,487,0019,4870019,9440,2981,1985,19.7,81
Wilbarger,487,0020,4870020,9441,2680,1632,31.6,33
Wilbarger,487,0021,4870021,9442,3805,2210,12.8,127
Young,503,0005,5030005,9692,4149,2854,6.0,236
Young,503,0006,5030006,9693,259,209,3.3,11
Young,503,0007,5030007,9694,166,132,4.5,10
Young,503,0010,5030010,9695,768,537,4.8,43
Young,503,0016,5030016,9696,775,589,4.6,39
Young,503,0022,5030022,9697,4509,3077,6.6,251
Young,503,0023,5030023,9698,3549,2171,12.2,167
Young,503,0024,5030024,9699,3692,2141,13.9,116

