FID,OBJECTID,Place,Name,cdp_name,citycode,anglo,asian,hisp,total,vap,black,bh,nanglo,anglovap,hispvap,bhvap,blackvap,asianvap,nanglovap,Shape_Leng,Shape_Area
183,184,27748,Fronton Ranchettes,Fronton Ranchettes,27748,6,2,167,174,121,2,167,168,5,116,116,2,2,116,1888.025570360000074,187945.946438000013586
184,185,27972,Gail,Gail,27972,201,3,44,249,179,2,45,48,155,24,24,1,0,24,12991.478365400000257,5212040.265940000303090
185,186,28128,Garceno,Garceno,28128,8,0,432,440,297,1,432,432,8,289,289,1,0,289,3555.681956309999805,593474.568689999985509
186,187,28152,Garciasville,Garciasville,28152,0,0,42,43,27,1,42,43,0,27,27,0,0,27,1623.605848489999971,122510.650072999997064
187,188,28176,Garden City,Garden City,28176,162,0,169,334,236,5,170,172,122,113,114,4,0,114,11152.131863099999464,4563265.173399999737740
188,189,28200,Gardendale,Gardendale,28200,1324,24,598,2020,1492,39,622,696,1067,360,377,18,12,425,30353.811493400000472,29631071.803899999707937
189,190,28320,Garfield,Garfield,28320,665,18,1031,1825,1344,67,1081,1160,580,675,712,51,9,764,36421.388379299998633,31401998.752599999308586
190,191,29012,Garner,Garner,29012,347,3,41,397,307,3,42,50,278,24,25,1,2,29,17444.517390199998772,8954381.631349999457598
191,192,29096,Garwood,Garwood,29096,267,2,179,510,346,63,238,243,197,106,146,40,2,149,24899.665343699998630,14116083.226199999451637
192,193,29114,Garza-Salinas II,Garza-Salinas II,29114,13,0,637,651,473,1,638,638,9,463,464,1,0,464,2272.550349579999875,205932.059129000001121
193,194,29216,Gause,Gause,29216,215,3,28,275,203,26,48,60,162,19,34,19,2,41,8294.882774120000249,2636326.407930000219494
194,195,29384,Geronimo,Geronimo,29384,490,2,541,1097,817,38,571,607,393,368,391,26,0,424,31775.186302400001296,21044481.267200000584126
195,196,29612,Girard,Girard,29612,37,3,15,53,41,2,16,16,30,10,11,2,2,11,9315.930668920000244,3748678.081939999945462
196,197,29732,Glazier,Glazier,29732,52,1,7,60,47,2,7,8,44,3,3,0,0,3,7486.454057140000259,3334539.380599999800324
197,198,29912,Glidden,Glidden,29912,282,3,368,741,511,88,444,459,212,231,287,61,1,299,8401.376144660000136,2595518.248269999865443
198,199,30560,Grangerland,Grangerland,30560,569,8,147,754,583,13,157,185,454,104,109,7,5,129,9086.734059919999709,4359788.065589999780059
199,200,30629,Grape Creek,Grape Creek,30629,2399,18,964,3594,2734,71,1011,1195,1920,649,675,30,5,814,30431.406512099998508,40381870.291599996387959
200,201,30890,Green Valley Farms,Green Valley Farms,30890,20,3,631,655,464,1,631,635,17,446,446,0,2,447,12942.232037300000229,10296872.575500000268221
201,202,31442,Guadalupe Guerra,Guadalupe Guerra,31442,5,0,55,60,33,0,55,55,0,33,33,0,0,33,821.936874665000005,38150.633895500002836
202,203,31484,Guerra,Guerra,31484,0,0,3,3,2,0,3,3,0,2,2,0,0,2,3500.707810639999934,541360.977543000015430
203,204,31640,Guthrie,Guthrie,31640,141,2,8,151,105,1,9,10,98,6,6,0,1,7,12902.399337900000319,4602432.674630000256002
204,205,31646,Gutierrez,Gutierrez,31646,7,0,62,69,57,1,62,62,3,54,54,0,0,54,2957.726680820000183,133774.671051000012085
205,206,32012,Hamshire,Hamshire,32012,798,6,123,962,701,19,140,164,606,68,76,10,3,95,15087.184839699999429,7707133.346939999610186
206,207,32246,Harding Gill Tract,Harding Gill Tract,32246,0,0,20,21,16,0,20,21,0,16,16,0,0,16,6756.510663500000192,2845676.526829999871552
207,208,32300,Hargill,Hargill,32300,29,0,769,800,549,0,769,771,14,533,533,0,0,535,6672.601379660000021,2219657.453710000030696
208,209,32456,Harper,Harper,32456,1077,2,200,1332,1052,17,209,255,884,132,133,6,1,168,70897.367217100007110,146142538.275999993085861
209,210,32552,Harrold,Harrold,32552,69,3,11,87,64,1,12,18,53,6,6,0,2,11,13839.413756699999794,10539520.565899999812245
210,211,32612,Hartley,Hartley,32612,228,4,144,382,262,2,145,154,181,79,79,1,1,81,19195.666437299998506,18094520.532099999487400
211,212,32792,Havana,Havana,32792,3,2,357,361,282,0,357,358,3,278,278,0,1,279,7340.534545700000308,2111396.390360000077635
212,213,32910,H. Cuellar Estates,H. Cuellar Estates,32910,0,1,10,11,8,0,10,11,0,7,7,0,1,8,813.292302056000040,35692.112293300000601
213,214,32978,Heartland,Heartland,32978,2708,179,2117,8509,5400,3445,5445,5801,1848,1242,3304,2112,130,3552,15369.579852499999106,8773885.865940000861883
214,215,33008,Hebbronville,Hebbronville,33008,336,33,3637,4101,2957,11,3643,3765,273,2595,2599,8,26,2684,29384.214309999999386,16788077.332400001585484
