FID,FIPS,CNTYKEY,FENAME,anglo,asian,hisp,total,vap,black,bh,nanglo,anglovap,hispvap,bhvap,blackvap,asianvap,nanglovap,Shape_Leng,Shape_Area
19,039,20,BRAZORIA,161833,29997,115202,372031,275900,61118,173026,210198,129282,77672,119635,43332,20997,146618,327883.855019000009634,4153859534.989999771118164
20,041,21,BRAZOS,123035,16856,63067,233849,185935,27910,88787,110814,103939,45137,63682,19871,14201,81996,293887.877016999991611,1524921835.009999990463257
21,043,22,BREWSTER,4948,164,3963,9546,7846,287,4176,4598,4318,2982,3171,223,122,3528,630743.374401999986731,15979580412.899999618530273
22,045,23,BRISCOE,1008,13,368,1435,1113,30,391,427,811,259,276,17,10,302,193137.325913000007858,2333099044.610000133514404
23,047,24,BROOKS,724,48,6242,7076,5329,47,6271,6352,643,4593,4622,29,38,4686,215211.006064999994123,2446255992.929999828338623
24,049,25,BROWN,26672,382,8211,38095,29878,1881,9884,11423,21949,5525,6707,1263,279,7929,216690.868496000010055,2468217231.929999828338623
25,051,26,BURLESON,11258,118,3712,17642,13911,2145,5737,6384,9403,2503,3989,1532,82,4508,258632.260627000010572,1745858716.950000047683716
26,053,27,BURNET,34810,629,11199,49130,38983,1011,12068,14320,29264,7372,7950,652,449,9719,254291.868966000009095,2635265577.150000095367432
27,055,28,CALDWELL,16560,444,25468,45883,34034,2932,28025,29323,13943,17100,19078,2105,294,20091,194094.647380999987945,1410059535.660000085830688
28,057,29,CALHOUN,8374,1169,9858,20106,15502,534,10271,11732,7072,6980,7317,390,866,8430,261499.229105000005802,2669295105.489999771118164
29,059,30,CALLAHAN,11555,109,1306,13708,10696,269,1545,2153,9221,867,1008,151,81,1475,192815.825313000008464,2325200432.010000228881836
30,061,31,CAMERON,37107,3637,376680,421017,301208,3410,378477,383910,31674,264000,265300,2103,2787,269534,366725.719449000025634,3316918341.139999866485596
31,063,32,CAMP,6734,154,3222,12464,9345,2092,5262,5730,5501,1998,3479,1497,123,3844,140913.240938000002643,524638840.515999972820282
32,065,33,CARSON,4873,33,558,5807,4401,91,636,934,3734,382,443,69,28,667,195746.720946999994339,2396307689.460000038146973
33,067,34,CASS,21028,199,1336,28454,22227,4941,6224,7426,16930,844,4410,3598,137,5297,274698.681801000027917,2479288031.599999904632568
34,069,35,CASTRO,2328,49,4784,7371,5277,155,4905,5043,1867,3215,3309,105,45,3410,193251.179411999997683,2327200309.679999828338623
35,071,36,CHAMBERS,29858,879,10952,46571,33464,3763,14512,16713,22476,6781,9389,2689,589,10988,266580.749858000024687,2248155411.199999809265137
36,073,37,CHEROKEE,30095,418,11797,50412,37887,7069,18714,20317,24051,7472,12585,5164,289,13836,373945.359770999988541,2739676809.480000019073486
37,075,38,CHILDRESS,3852,93,1942,6664,5318,672,2585,2812,3116,1461,2021,580,64,2202,173330.556562999991002,1846958978.309999942779541
38,077,39,CLAY,8941,87,641,10218,8144,121,745,1277,7247,394,463,74,69,897,253794.938101000007009,2886031179.530000209808350
39,079,40,COCHRAN,912,16,1527,2547,1817,94,1594,1635,709,1019,1076,62,13,1108,179611.545115999993868,2002706350.740000009536743
40,081,41,COKE,2473,17,661,3285,2634,23,671,812,2036,471,479,14,6,598,197364.795691000006627,2393614741.130000114440918
41,083,42,COLEMAN,6013,58,1192,7684,6165,236,1396,1671,4994,815,942,135,40,1171,278757.269553999998607,3305138018.929999828338623
