cntyvtd,district_id,dem_share,rep_share,pct_white,pct_black,pct_asian,pct_hispanic,polsby_popper,convex_hull_ratio,schwartzberg,reock
20500118,15,0.0,0.0,0.29113149833618035,0.012844036613529385,0.005810397564846911,0.6795107035769571,0.43271308715827583,0.856656393139984,1.5201973978529806,0.3790065501998627
20500119,27,0.0,0.0,0.646788987136364,0.026758411046864505,0.022935780357860015,0.265290522793777,0.2502761698492779,0.7493199054229414,1.998896234998593,0.11784232404967514
20500120,27,0.0,0.0,0.7253694553137634,0.014778325408088286,0.011083744338607458,0.21551724445092704,0.14026582546347968,0.4590326748889129,2.670078710879715,0.19716159682512466
20500121,15,0.0,0.0,0.4781199356616518,0.033387357180891405,0.031442463324261184,0.4476499191104616,0.5543142752303738,0.9080530936493358,1.3431421198764295,0.33318299594348566
20500122,15,0.0,0.0,0.1969696988100707,0.015151515149588011,0.015151515162596867,0.727272725498969,0.42440775391226027,0.820878949067985,1.5349998772292446,0.36907909413147516
20500123,15,0.0,0.0,0.26506023533174994,7.446391643504319e-12,0.0240963836908544,0.6746988040505415,0.5006325206163368,0.8170177836543115,1.4133198909480627,0.4074350817495525
20500124,15,0.0,0.0,0.21850718155276339,0.025194254825225706,0.006828349430565131,0.7457028490213875,0.24343335701945437,0.7645732412982313,2.0267956145007546,0.5097392222915343
20500125,15,0.0,0.0,0.4754097855711225,3.6193201251339978e-09,0.01639343954718038,0.4918033304149987,0.47389211115293395,0.8172346444588361,1.4526475650156472,0.3343167879517238
20600001,11,0.0,0.0,0.6181818185259003,0.009090910069229028,0.007272728337003725,0.3536363626479118,0.2765311198978209,0.8087615342313998,1.901638641728047,0.60367154537437
20600002A,11,0.0,0.0,0.868150684974022,0.005136986295675904,8.216188089903466e-12,0.087328767062145,0.4463433004349177,0.9045476920402038,1.4968059117590435,0.40300508514748734
20600002B,11,0.0,0.0,0.5750487243147623,0.0019493175324363974,0.02729044750034373,0.38401560347245894,0.18449079688115266,0.5179113917042734,2.3281590525426497,0.21153088382691154
20600003A,11,0.0,0.0,0.8394160583309692,0.014598540171739983,0.010948905096147545,0.1094890511585919,0.43163611265018564,0.9276726814446207,1.5220927372563928,0.2879296506614373
20600003B,11,0.0,0.0,0.5432692298988797,0.0,0.004807692376700008,0.4230769230813445,0.48392774279260703,0.869626924306939,1.4375062443573803,0.5165579991298445
20600004A,11,0.0,0.0,0.6543778818112852,0.08525345413907666,0.007680491428361925,0.25422427004856024,0.29200826149119957,0.7461416153452511,1.850556846982079,0.38466579706561016
20600004B,11,0.0,0.0,0.9370629371096733,0.013986014005640226,0.0,0.04895104904102653,0.19480150804516766,0.6574269847122572,2.2657075021712503,0.2967997770684953
20700001,23,0.12837837837837837,0.8614864864864865,0.5587583097270917,0.022172948552792015,0.008869179714078473,0.4257206257819411,0.5591740870369366,0.8853041258224962,1.3372927228948388,0.4340900218957291
20700002,23,0.15676959619952494,0.828978622327791,0.4177215197424202,0.012658227445302334,0.004219409234400357,0.5464135021187542,0.4945814634863306,0.7836853582755967,1.421939381163686,0.44597380780882734
20700003,23,0.1978021978021978,0.7857142857142857,0.30065360011297804,0.02178649296390171,0.008714597006384373,0.6579520637502725,0.7433035665863598,0.9403629292120754,1.1598902336469283,0.5506539702625207
20700004,23,0.16666666666666666,0.8064516129032258,0.7122153197234271,0.014492753916011583,0.012422360190119292,0.2484472060134435,0.695144728777243,0.9674655442489759,1.1993954115525793,0.5282343543368395
20800005,19,0.0,0.0,0.7053571424830452,0.008928571437548466,0.008928571437548466,0.24107142885401134,0.5145722283714982,0.8006636357097773,1.3940451128859463,0.488167325052935
20800006,19,0.0,0.0,0.8390501316735028,5.095539267997211e-11,0.0026385224776688536,0.14248021121861362,0.5750794375357762,0.8840188966118618,1.3186698613423475,0.7153201573987297
20800007,19,0.0,0.0,0.6316218416102415,0.019152404528641753,0.008149959261268235,0.32518337389588314,0.3996694140325858,0.7452426077638074,1.5817926132459466,0.27280636279007653
20800008,19,0.0,0.0,0.5991452979483851,0.04017094032793802,0.009401709418916118,0.33418803553699916,0.4130998388681756,0.7532442954066976,1.555867063468211,0.31975147410371413
20800009,19,0.0,0.0,0.8039603955407533,0.0,0.0019801980227374407,0.15643564400983134,0.6009506547360475,0.9213520615551568,1.2899729208203417,0.5780342033856973
20800010,19,0.0,0.0,0.6172106907533895,0.060830856108183,0.005192878129860204,0.29080118411641226,0.16677200663337907,0.4488919581007065,2.4487160220266992,0.20656246647580148
